OBJECTID,Company,Address,City,State,Zip,Phone,Latitude,Longitude,Recovery,Landfill,C&D,Composting,Demolition,Electronics,HHW,Metals,Tires,Transfer Station,Vehicles,LF-C&D,LF-HW,LF-MSW,Region,DDRT_ID,x,y
9,Vista Landfill LLC,242 W Keene Rd,Apopka,FL,32703 ,407-553-4938,28.638378,-81.5123475,Yes,1,0,0,0,0,0,0,1,0,0,1,0,0,4,8b52163c-b84f-47da-9e21-263550cdbc79,-9073913.3678,3329700.3581
16,Florida Tire Terminal,400 Feagin St,Avon Park,FL,33825 ,863-453-2030,27.5914533353,-81.5042115097,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,7cf4c8fb-bbe3-414f-b58f-ee794f2b2f09,-9073007.6695,3197563.0065
26,Lena Rd County Landfill,3333 Lena Rd,Bradenton,FL,34211 ,941-748-5543,27.473733,-82.4527845,Yes,1,0,0,0,0,0,0,1,0,0,0,0,1,4,3f4a0cd0-7726-405d-8b75-52a8a53e22a9,-9178602.3619,3182784.7635
28,Cemex Brooksville South Plant,10206 Cobb Rd,Brooksville,FL,34601 ,352-799-7881,28.5742932537,-82.4209640173,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,8b98dc4b-df69-4fde-ba1a-7ebacfc8c437,-9175060.1249,3321574.5549
47,Tire Disposal Service,3053 Barnes Ln,Cottondale,FL,32431 ,850-352-1044,30.789070405,-85.4329738475,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5e17c996-2c9e-42af-b79e-00f0601ce14d,-9510355.6309,3605386.8561
51,Enterprise Landfill &amp; Recycling,41111 Enterprise Rd,Dade City,FL,33525 ,352-567-7676,28.3286284645,-82.1343411094,Yes,1,0,0,0,0,0,0,1,0,0,1,0,0,4,1e56a33c-f992-4c44-a4d7-ddedfb33bcb2,-9143153.3985,3290470.5224
64,US 27 Tires LLC,29612 Hwy 27,Dundee,FL,33838 ,863-248-2911,28.0377460021,-81.6368929575,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5e05bc6d-b42b-43c5-b5e6-a0594b958b39,-9087777.7066,3253734.1886
75,Lee County Resource Recovery Facility,10500 Buckingham Rd,Fort Myers,FL,33905 ,239-533-8000,26.63181,-81.760527,Yes,0,1,0,0,0,0,0,1,1,0,0,0,0,4,30953b1c-9d14-4549-8313-1d98139735ec,-9101540.5844,3077546.71
80,Garden Street Iron &amp; Metal Inc,3350 Old Metro Pkwy,Fort Myers,FL,33916,239-337-5865,26.6166916975,-81.8519115412,Yes,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0bf5c4e0-4d01-41de-bae3-b4a13035d5b8,-9111713.4679,3075664.1272
102,EA Tires International Corp,3729 NW 71 St,Miami,FL,33175 ,305-835-2740,25.8382004914,-80.2575262243,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,7e5d17a3-1108-4519-93d8-b23ebcdf2a4c,-8934227.2523,2979055.7243
103,TM Tires Inc,5575 NW 36 Ave,Miami,FL,33142 ,786-431-1145,25.8247168637,-80.2554804031,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,e25da047-515b-4da1-9a48-b76ae91236ed,-8933999.5124,2977388.1042
112,Klean Tires Recycling Inc,10010 N Main St,Jacksonville,FL,32218 ,904-999-9888,30.419352,-81.6502185,Yes,0,0,0,0,0,0,0,1,0,0,0,0,0,4,95b3f991-c84a-4011-9247-7c091ef2e5c7,-9089261.109,3557569.0747
